name,artist,track_URI,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,playlist
Live Your Life - feat. Rihanna,T.I.,spotify:track:16GHcGtW9Io7AuVdNmTjv3,0.071,0.375,0.862,0.0,0.211,-3.363,0.255,159.841,0.478,The Longest Playlist on Spotify® (Official)
Get Low,Lil Jon & The East Side Boyz,spotify:track:0r2Bul2NuCViraT2zX1l5j,0.0301,0.521,0.625,0.0,0.121,-7.47,0.067,101.019,0.136,The Longest Playlist on Spotify® (Official)
rockstar,Post Malone,spotify:track:1OmcAT5Y8eg5bUPv9qJT4R,0.128,0.58,0.531,0.000127,0.143,-6.631,0.0776,159.786,0.141,The Longest Playlist on Spotify® (Official)
All For You,Sister Hazel,spotify:track:2skmOCFU64Bg7Ytkgwliwe,0.0316,0.633,0.754,2.27e-05,0.091,-6.495,0.0382,137.047,0.641,The Longest Playlist on Spotify® (Official)
Blinded By The Light (Single edit),Manfred Mann's Earth Band,spotify:track:6jkNs6ZRiLjIk87MWmSGWu,0.524,0.594,0.561,0.00222,0.0724,-11.666,0.0603,140.286,0.617,The Longest Playlist on Spotify® (Official)
Stay,Rihanna,spotify:track:1dEy9Pl81QopSxNsPxXQxv,0.945,0.621,0.31,6.12e-05,0.117,-10.164,0.0283,111.893,0.125,The Longest Playlist on Spotify® (Official)
Home,Edward Sharpe & The Magnetic Zeros,spotify:track:7w5cxTEzp1rfV3KCy0Bd5N,0.292,0.542,0.589,0.000522,0.177,-6.623,0.0318,111.665,0.137,The Longest Playlist on Spotify® (Official)
You're Beautiful,James Blunt,spotify:track:0vg4WnUWvze6pBOJDTq99k,0.633,0.675,0.479,1.76e-05,0.088,-9.87,0.0278,81.998,0.454,The Longest Playlist on Spotify® (Official)
Beneath Your Beautiful (feat. Emeli Sandé),Labrinth,spotify:track:1wVcLKdJ4AFKPhKucNvEpy,0.228,0.558,0.522,0.0,0.104,-5.857,0.036,83.977,0.228,The Longest Playlist on Spotify® (Official)
Run Away With You,Big & Rich,spotify:track:4Si4sumzW5G0n9vRsGLC2X,0.128,0.523,0.821,0.0,0.283,-4.166,0.0471,147.922,0.368,The Longest Playlist on Spotify® (Official)
Mr. Brightside,The Killers,spotify:track:7oK9VyNzrYvRFo7nQEYkWN,0.00101,0.356,0.924,0.0,0.0953,-3.74,0.0808,148.017,0.232,The Longest Playlist on Spotify® (Official)
I Won't Give Up,Jason Mraz,spotify:track:05pKAafT85jeeNhZ6kq7HT,0.694,0.585,0.303,0.0,0.115,-10.058,0.0398,136.703,0.142,The Longest Playlist on Spotify® (Official)
Beautiful,Christina Aguilera,spotify:track:3TCauNPqFiniaYHBvEVoHG,0.578,0.456,0.573,3.05e-06,0.114,-3.866,0.0275,76.19,0.0992,The Longest Playlist on Spotify® (Official)
Club Can't Handle Me (feat. David Guetta) - From the Step Up 3D Soundtrack,Flo Rida,spotify:track:0xcl9XT60Siji6CSG4y6nb,0.0205,0.623,0.882,0.0,0.194,-2.574,0.0322,127.98,0.525,The Longest Playlist on Spotify® (Official)
Waterfalls,TLC,spotify:track:6qspW4YKycviDFjHBOaqUY,0.311,0.769,0.505,7.49e-05,0.0777,-7.345,0.0829,171.804,0.757,The Longest Playlist on Spotify® (Official)
Rude,MAGIC!,spotify:track:3tCwjWLicbjsMCvXhN0WOE,0.0435,0.743,0.807,0.0,0.309,-3.78,0.0364,144.062,0.899,The Longest Playlist on Spotify® (Official)
I Want It That Way,Backstreet Boys,spotify:track:6e40mgJiCid5HRAGrbpGA6,0.216,0.689,0.702,0.0,0.159,-5.642,0.0261,99.031,0.484,The Longest Playlist on Spotify® (Official)
Play That Song,Train,spotify:track:77hjM9bMmgfTGJXv14UFmi,0.0231,0.392,0.825,2.25e-06,0.0972,-2.068,0.0535,98.959,0.482,The Longest Playlist on Spotify® (Official)
I Love Rock and Roll,Joan Jett Tribute Band,spotify:track:0gtAXJn0GMDNPyZMh76qGL,0.571,0.777,0.403,0.00402,0.199,-11.633,0.0763,93.176,0.882,The Longest Playlist on Spotify® (Official)
Lip Gloss,Lil Mama,spotify:track:1Y4ZdPOOgCUhBcKZOrUFiS,0.41,0.619,0.87,1.37e-06,0.0571,-4.956,0.501,188.772,0.94,The Longest Playlist on Spotify® (Official)
Diamonds,Rihanna,spotify:track:65YsalQBmQCzIPaay72CzQ,0.00108,0.554,0.669,0.0,0.138,-6.041,0.0426,91.993,0.405,The Longest Playlist on Spotify® (Official)
Beat It,Michael Jackson,spotify:track:6pBM20jZldvNlbNcnwAX0y,0.0505,0.782,0.866,1.39e-05,0.218,-3.763,0.0489,138.859,0.896,The Longest Playlist on Spotify® (Official)
Cowboy Take Me Away,The Chicks,spotify:track:3rXCZRMiMZp0feGcYXpwYX,0.365,0.467,0.622,0.00527,0.0982,-7.255,0.031,164.418,0.455,The Longest Playlist on Spotify® (Official)
I Don’t Wanna Live Forever (Fifty Shades Darker),ZAYN,spotify:track:6yIdwnpDHufLWgQcveTPMk,0.0631,0.735,0.451,1.3e-05,0.325,-8.374,0.0585,117.973,0.0862,The Longest Playlist on Spotify® (Official)
She Will Be Loved,Maroon 5,spotify:track:7sapKrjDij2fpDVj0GxP66,0.0596,0.706,0.713,0.0,0.132,-5.512,0.0301,102.037,0.544,The Longest Playlist on Spotify® (Official)
"Footloose - From ""Footloose"" Soundtrack",Kenny Loggins,spotify:track:2vz1CsL5WBsbpBcwgboTAw,0.0984,0.583,0.905,0.00019,0.0593,-6.132,0.0733,173.982,0.646,The Longest Playlist on Spotify® (Official)
It's Raining Men,The Weather Girls,spotify:track:7iFwfXNYy0goAL54aupC7Q,0.0468,0.692,0.856,0.507,0.252,-7.786,0.0696,136.913,0.576,The Longest Playlist on Spotify® (Official)
Sk8er Boi,Avril Lavigne,spotify:track:4omisSlTk6Dsq2iQD7MA07,6.79e-05,0.487,0.9,0.0,0.358,-4.417,0.0482,149.937,0.484,The Longest Playlist on Spotify® (Official)
All Star,Smash Mouth,spotify:track:19fm0eNKTeg1JbHCHwPhLe,0.0398,0.73,0.862,0.0,0.0818,-5.876,0.0313,104.018,0.77,The Longest Playlist on Spotify® (Official)
Let's Get Crazy,Hannah Montana,spotify:track:5J0d605KKCz4x8zbUKTaPe,0.00303,0.72,0.913,6.24e-05,0.348,-3.67,0.0491,124.997,0.8,The Longest Playlist on Spotify® (Official)
Blank Space,Taylor Swift,spotify:track:2sC2P3BN0IXujNaaSyDmtP,0.103,0.76,0.703,0.0,0.0913,-5.412,0.054,95.997,0.57,The Longest Playlist on Spotify® (Official)
Bad Blood,Taylor Swift,spotify:track:0yN4fNzmVnmgC0dsOoi9Wh,0.0885,0.646,0.794,6.16e-06,0.201,-6.104,0.19,170.216,0.287,The Longest Playlist on Spotify® (Official)
Wildest Dreams,Taylor Swift,spotify:track:106R7Z57WYzBAfrXImV30y,0.0692,0.55,0.688,0.00144,0.106,-7.416,0.0897,139.997,0.465,The Longest Playlist on Spotify® (Official)
We Are Never Ever Getting Back Together,Taylor Swift,spotify:track:1OYARuagDrpgNNQ4loO1Cs,0.00957,0.628,0.676,2.65e-05,0.102,-5.911,0.0916,85.984,0.75,The Longest Playlist on Spotify® (Official)
Forever & Always,Taylor Swift,spotify:track:47HtKpfzpAt8rQjjXWotFj,0.0752,0.608,0.821,0.0,0.11,-4.985,0.0576,128.042,0.544,The Longest Playlist on Spotify® (Official)
Picture To Burn,Taylor Swift,spotify:track:32mVHdy0bi1XKgr0ajsBlG,0.173,0.658,0.877,0.0,0.0962,-2.098,0.0323,105.586,0.821,The Longest Playlist on Spotify® (Official)
Despacito - Remix,Luis Fonsi,spotify:track:6rPO02ozF3bM7NnOV4h6s2,0.228,0.653,0.816,0.0,0.0967,-4.353,0.167,178.085,0.816,The Longest Playlist on Spotify® (Official)
September,"Earth, Wind & Fire",spotify:track:5nNmj1cLH3r4aA4XDJ2bgY,0.114,0.697,0.809,0.000521,0.183,-8.197,0.0302,125.941,0.98,The Longest Playlist on Spotify® (Official)
It Started With a Whisper,U.K. Mix Masters,spotify:track:6RBVYpcVH3asWTusbGgjak,6.29e-05,0.486,0.834,0.00044,0.209,-7.491,0.0341,77.5,0.853,The Longest Playlist on Spotify® (Official)
Ignition - Remix,R. Kelly,spotify:track:5dNfHmqgr128gMY2tc5CeJ,0.061,0.795,0.523,0.0,0.0914,-7.165,0.0423,133.024,0.855,The Longest Playlist on Spotify® (Official)
Everytime We Touch,Cascada,spotify:track:1eOHw1k2AoluG4VyjBHLzX,0.00474,0.635,0.974,1.56e-05,0.41,-5.373,0.052,142.049,0.495,The Longest Playlist on Spotify® (Official)
Find A Way,Amy Grant,spotify:track:0szU1fWxpXgr47uB6ezphl,0.186,0.72,0.876,0.0,0.313,-4.828,0.0339,129.464,0.489,The Longest Playlist on Spotify® (Official)
"Too Much To Ask - Recorded At RAK Studios, London",Niall Horan,spotify:track:3GInDh3WMfEmAIQcopehGS,0.596,0.462,0.389,0.0,0.0905,-11.173,0.0342,78.171,0.334,The Longest Playlist on Spotify® (Official)
Drive By,Train,spotify:track:0KAiuUOrLTIkzkpfpn9jb9,0.00107,0.765,0.837,1.06e-05,0.0801,-3.113,0.032,122.028,0.721,The Longest Playlist on Spotify® (Official)
Location,Khalid,spotify:track:152lZdxL1OR0ZMW6KquMif,0.33,0.736,0.449,0.000162,0.0898,-11.462,0.425,80.126,0.326,The Longest Playlist on Spotify® (Official)
Everytime We Touch,Cascada,spotify:track:5YnKmPZytgkywuHktntXDV,0.00328,0.64,0.989,2.07e-06,0.364,-3.707,0.0708,142.024,0.49,The Longest Playlist on Spotify® (Official)
"Courtesy Of The Red, White And Blue (The Angry American)",Toby Keith,spotify:track:0M7mWKqwTIaVjYyxfZmtTa,0.521,0.424,0.661,1.62e-06,0.0719,-5.547,0.0425,111.762,0.384,The Longest Playlist on Spotify® (Official)
Don't,Ed Sheeran,spotify:track:5W2opDlEE4V6azri6kC4aT,0.0113,0.806,0.608,0.0,0.635,-7.008,0.0659,95.049,0.849,The Longest Playlist on Spotify® (Official)
The Fresh Prince of Bel-Air,DJ Jazzy Jeff & The Fresh Prince,spotify:track:0UREO3QWbXJW3gOUXpK1am,0.00278,0.824,0.684,1.45e-06,0.0481,-7.354,0.0935,101.152,0.87,The Longest Playlist on Spotify® (Official)
Morocco,Moon Taxi,spotify:track:30lgD1UuHczwlxa7NZFeSQ,0.0178,0.616,0.894,0.000103,0.153,-3.209,0.0508,115.077,0.542,The Longest Playlist on Spotify® (Official)
Take A Bow,Rihanna,spotify:track:3goSVuTt3fDYDP6kRnFwuL,0.248,0.697,0.467,0.0,0.0941,-7.536,0.0715,82.082,0.572,The Longest Playlist on Spotify® (Official)
Piano Man,Billy Joel,spotify:track:3FCto7hnn1shUyZL42YgfO,0.6,0.334,0.472,3.62e-06,0.317,-8.791,0.0277,179.173,0.431,The Longest Playlist on Spotify® (Official)
Fresh Eyes,Andy Grammer,spotify:track:4nMlau89VAjmV7agkl7OY3,0.562,0.822,0.544,2.4e-05,0.144,-6.797,0.0332,122.047,0.861,The Longest Playlist on Spotify® (Official)
Irreplaceable,Beyoncé,spotify:track:6RX5iL93VZ5fKmyvNXvF1r,0.0293,0.447,0.694,5.46e-06,0.167,-4.637,0.382,175.868,0.509,The Longest Playlist on Spotify® (Official)
Marry Me,Train,spotify:track:0VZ9xPNa6ROafP6GYYuv2S,0.829,0.366,0.269,1.67e-05,0.108,-8.456,0.0287,86.577,0.492,The Longest Playlist on Spotify® (Official)
Bruises (feat. Ashley Monroe),Train,spotify:track:3adeqciqrsp6PQqR0hGDC7,0.0131,0.63,0.791,6.83e-06,0.232,-4.497,0.0279,102.963,0.491,The Longest Playlist on Spotify® (Official)
You're The One That I Want - From “Grease”,John Travolta,spotify:track:6UUzt6LPtVNwy8l6jqu9C9,0.256,0.743,0.774,5.03e-05,0.155,-5.916,0.0941,106.564,0.833,The Longest Playlist on Spotify® (Official)
Beautiful Soul,Jesse McCartney,spotify:track:1HwpWwa6bnqqRhK8agG4RS,0.0759,0.66,0.666,0.0,0.0268,-4.342,0.0472,89.975,0.933,The Longest Playlist on Spotify® (Official)
Weak,AJR,spotify:track:7fBHjuqAIVOdy5xoNxy5YQ,0.131,0.669,0.579,0.0,0.19,-6.341,0.0468,123.979,0.66,The Longest Playlist on Spotify® (Official)
Castle on the Hill,Ed Sheeran,spotify:track:6PCUP3dWmTjcTtXY02oFdT,0.0232,0.461,0.834,1.14e-05,0.14,-4.868,0.0989,135.007,0.471,The Longest Playlist on Spotify® (Official)
Cruise,Florida Georgia Line,spotify:track:0i5el041vd6nxrGEU8QRxy,0.0191,0.457,0.948,0.0,0.0536,-3.364,0.0354,148.0,0.878,The Longest Playlist on Spotify® (Official)
iSpy (feat. Lil Yachty),KYLE,spotify:track:2EEeOnHehOozLq4aS0n6SL,0.378,0.746,0.653,0.0,0.229,-6.745,0.289,75.016,0.672,The Longest Playlist on Spotify® (Official)
Strip That Down,Liam Payne,spotify:track:6EpRaXYhGOB3fj4V2uDkMJ,0.246,0.869,0.485,0.0,0.0765,-5.595,0.0545,106.028,0.527,The Longest Playlist on Spotify® (Official)
Thunder,Imagine Dragons,spotify:track:5VnDkUNyX6u5Sk0yZiP8XB,0.00782,0.604,0.826,0.15,0.154,-4.804,0.0434,167.985,0.241,The Longest Playlist on Spotify® (Official)
Something Just Like This,The Chainsmokers,spotify:track:6RUKPb4LETWmmr3iAEQktW,0.0498,0.617,0.635,1.44e-05,0.164,-6.769,0.0317,103.019,0.446,The Longest Playlist on Spotify® (Official)
Brand New,Ben Rector,spotify:track:5EQ9yEra0SzVd673ZfKT4C,0.00338,0.553,0.936,1.35e-06,0.102,-5.015,0.11,144.884,0.412,The Longest Playlist on Spotify® (Official)
Cold Water,Major Lazer,spotify:track:7zsXy7vlHdItvUSH8EwQss,0.0736,0.608,0.798,0.0,0.156,-5.092,0.0432,92.943,0.501,The Longest Playlist on Spotify® (Official)
Me And My Broken Heart,Rixton,spotify:track:1oew3nFNY3vMacJAsvry0S,0.00489,0.545,0.783,0.0,0.132,-4.261,0.0345,174.084,0.551,The Longest Playlist on Spotify® (Official)
New Man,Ed Sheeran,spotify:track:5HDPtsnyb3maFmPL8LLUTG,0.0559,0.78,0.745,0.0,0.0595,-3.97,0.145,94.026,0.862,The Longest Playlist on Spotify® (Official)
Cake By The Ocean,DNCE,spotify:track:42ftjU4cTN5UTRksyqBKZJ,0.147,0.771,0.76,0.0,0.053,-5.459,0.0514,119.0,0.881,The Longest Playlist on Spotify® (Official)
Treasure,Bruno Mars,spotify:track:1GDrGx9VWaAgaekuddnLYq,0.0291,0.872,0.699,0.000121,0.0639,-5.071,0.0349,116.033,0.934,The Longest Playlist on Spotify® (Official)
"Honey, I'm Good.",Andy Grammer,spotify:track:4MflGTO2ZTcSQ12bWcyRgI,0.0324,0.752,0.775,0.0,0.351,-7.289,0.0546,122.014,0.595,The Longest Playlist on Spotify® (Official)
Safe And Sound,Capital Cities,spotify:track:6BnONjR7itGMEqwxKTIlRM,0.00021,0.653,0.822,0.0047,0.0838,-4.857,0.033,117.949,0.762,The Longest Playlist on Spotify® (Official)
Payphone,Maroon 5,spotify:track:4P0osvTXoSYZZC2n8IFH3c,0.0136,0.739,0.756,0.0,0.37,-4.828,0.0394,110.028,0.523,The Longest Playlist on Spotify® (Official)
Want to Want Me,Jason Derulo,spotify:track:7oGZAicScQt96OAW4AruYy,0.00906,0.775,0.68,0.0,0.109,-5.508,0.0629,114.025,0.656,The Longest Playlist on Spotify® (Official)
"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",DJ Khaled,spotify:track:3DXncPQOG4VBw3QHh3S817,0.0552,0.609,0.668,0.0,0.167,-4.284,0.0367,80.924,0.811,The Longest Playlist on Spotify® (Official)
Billionaire (feat. Bruno Mars),Travie McCoy,spotify:track:16Ldvr8SKdenSlADkLsdYF,0.266,0.597,0.752,0.0,0.124,-4.611,0.253,86.685,0.57,The Longest Playlist on Spotify® (Official)
These Girls,Why Don't We,spotify:track:1Fc4NYNUePCq7ab5ftg7Ty,0.12,0.71,0.781,0.0,0.0579,-4.762,0.0536,131.916,0.546,The Longest Playlist on Spotify® (Official)
"Honey, I'm Good.",Andy Grammer,spotify:track:4orphgwPHHRsdEkfUmANSD,0.0378,0.753,0.796,0.0,0.331,-6.406,0.0576,122.025,0.605,The Longest Playlist on Spotify® (Official)
Rain Is A Good Thing,Luke Bryan,spotify:track:1YhFtqwcN138S6ng3MT1nN,0.105,0.622,0.932,2.37e-06,0.328,-4.66,0.0498,108.051,0.519,The Longest Playlist on Spotify® (Official)
Bottoms Up,Brantley Gilbert,spotify:track:477pWnF7WFWb9Qs6g8rs4J,0.113,0.476,0.857,0.0,0.135,-5.733,0.0432,169.975,0.543,The Longest Playlist on Spotify® (Official)
Jumpman,Drake,spotify:track:27GmP9AWRs744SzKcpJsTZ,0.0559,0.852,0.553,0.0,0.332,-7.286,0.187,142.079,0.656,The Longest Playlist on Spotify® (Official)
Don't Stop Believin',Journey,spotify:track:4bHsxqR3GMrXTxEPLuK5ue,0.127,0.5,0.748,0.0,0.447,-9.072,0.0363,118.852,0.514,The Longest Playlist on Spotify® (Official)
Twist And Shout - Remastered 2009,The Beatles,spotify:track:5ZBeML7Lf3FMEVviTyvi8l,0.641,0.482,0.849,7.74e-06,0.0414,-9.198,0.0452,124.631,0.937,The Longest Playlist on Spotify® (Official)
Jessie's Girl,Rick Springfield,spotify:track:6EUumCXY2GwkIKcuVGfJyM,0.113,0.704,0.77,0.0,0.101,-8.843,0.0526,131.57,0.839,The Longest Playlist on Spotify® (Official)
Eye of the Tiger,Survivor,spotify:track:64F1ojnPPiJiFZtYQtHB7r,0.156,0.823,0.562,0.00033,0.0861,-10.134,0.0318,108.863,0.562,The Longest Playlist on Spotify® (Official)
Back In Black,AC/DC,spotify:track:08mG3Y1vljYA6bvDt4Wqkj,0.011,0.31,0.7,0.00965,0.0828,-5.678,0.047,188.386,0.763,The Longest Playlist on Spotify® (Official)
Crazy Train - 2002 Version,Ozzy Osbourne,spotify:track:61nSbxyL6VRPp32AMscxiF,0.0184,0.465,0.902,0.00114,0.348,-4.628,0.0587,137.272,0.603,The Longest Playlist on Spotify® (Official)
Sweet Child O' Mine,Guns N' Roses,spotify:track:7o2CTH4ctstm8TNelqjb51,0.0866,0.454,0.91,0.0996,0.116,-7.766,0.0448,125.116,0.629,The Longest Playlist on Spotify® (Official)
Any Way You Want It,Journey,spotify:track:2DyHhPyCZgZzNXn1IrtsTu,0.000312,0.519,0.934,0.00457,0.137,-7.137,0.0471,138.162,0.586,The Longest Playlist on Spotify® (Official)
Backroad Song,Granger Smith,spotify:track:5ix3mPn7JFsKTVoidu6dBw,0.0352,0.488,0.833,0.0172,0.34,-6.571,0.0437,174.006,0.751,The Longest Playlist on Spotify® (Official)
Tennessee River Run,Darryl Worley,spotify:track:1cRSoGZl1JkZBSOyohlPVq,0.152,0.521,0.961,5.41e-06,0.309,-5.616,0.0402,182.12,0.922,The Longest Playlist on Spotify® (Official)
Knee Deep (feat. Jimmy Buffett),Zac Brown Band,spotify:track:1yEwEiTpsaPhQi9lb5EVV4,0.432,0.715,0.584,1.41e-06,0.095,-8.231,0.0296,90.987,0.61,The Longest Playlist on Spotify® (Official)
Song of the South,Alabama,spotify:track:2uX5f3x2cObov0iDAPln4o,0.176,0.486,0.633,0.0,0.312,-8.414,0.0365,162.158,0.669,The Longest Playlist on Spotify® (Official)
Colder Weather,Zac Brown Band,spotify:track:1M2l9ReoabUnvl6Y8jLUe7,0.458,0.667,0.381,0.0,0.116,-7.494,0.0294,135.979,0.199,The Longest Playlist on Spotify® (Official)
Dixieland Delight - Single Edit,Alabama,spotify:track:1hh3iFX5vVsiD9LMwUlQeh,0.208,0.464,0.405,1.1e-05,0.0611,-12.538,0.033,95.852,0.514,The Longest Playlist on Spotify® (Official)
Mountain Music,Alabama,spotify:track:0mGat0NgAb9PoZMc978Y8O,0.141,0.466,0.55,0.0,0.149,-9.517,0.0437,109.53,0.747,The Longest Playlist on Spotify® (Official)
Boys 'Round Here (feat. Pistol Annies & Friends),Blake Shelton,spotify:track:39FwE8edwuyiaa4PrGBkP7,0.251,0.611,0.688,2.35e-06,0.248,-6.369,0.0529,169.895,0.649,The Longest Playlist on Spotify® (Official)
Sangria,Blake Shelton,spotify:track:0p1HtkrNYxv0iDfEKwXSTp,0.017,0.646,0.724,1.39e-06,0.153,-6.96,0.0265,115.984,0.54,The Longest Playlist on Spotify® (Official)
"Speakers, Bleachers And Preachers",Brandon Lay,spotify:track:0Is6MRHWKe7y2xIxDkvO6l,0.302,0.603,0.625,0.0,0.141,-6.563,0.0258,96.02,0.651,The Longest Playlist on Spotify® (Official)
"God, Your Mama, And Me",Florida Georgia Line,spotify:track:4aDxVCy5DqJW6TfVftmT00,0.32,0.44,0.807,0.0,0.377,-3.625,0.0504,168.055,0.707,The Longest Playlist on Spotify® (Official)
When She Says Baby,Jason Aldean,spotify:track:3gVRILe7XCyNakb6sy5umX,0.0682,0.673,0.76,0.000116,0.309,-5.126,0.0361,113.063,0.807,The Longest Playlist on Spotify® (Official)
"Take Me Home, Country Roads - Rerecorded",John Denver,spotify:track:2xYlyywNgefLCRDG8hlxZq,0.546,0.255,0.43,1.87e-05,0.188,-12.564,0.0322,164.267,0.546,The Longest Playlist on Spotify® (Official)
"John Cougar, John Deere, John 3:16",Keith Urban,spotify:track:1MLiJQozVUdCCNudp1cDbn,0.0621,0.644,0.777,1.83e-06,0.0792,-6.971,0.0997,170.021,0.599,The Longest Playlist on Spotify® (Official)
The Boys of Fall,Kenny Chesney,spotify:track:2Y48Q7HryWdPJZypJotjlJ,0.227,0.503,0.648,0.00124,0.378,-6.243,0.027,147.942,0.39,The Longest Playlist on Spotify® (Official)
Parking Lot Party,Lee Brice,spotify:track:4HFNGbVmsMV5lHUvDuXLkl,0.00646,0.54,0.86,0.0,0.629,-5.763,0.081,171.72,0.856,The Longest Playlist on Spotify® (Official)
I'll Fly Away,Randy Travis,spotify:track:7F7X55XsH6KtIU7eE22V9l,0.133,0.672,0.73,7.14e-06,0.234,-7.754,0.0437,114.205,0.629,The Longest Playlist on Spotify® (Official)
Blue Tacoma,Russell Dickerson,spotify:track:6Axy0fL3FBtwx2rwl4soq9,0.0209,0.458,0.894,0.0,0.221,-4.903,0.0398,160.125,0.717,The Longest Playlist on Spotify® (Official)
Cop Car,Sam Hunt,spotify:track:7LJOfS8evyKfP8Fl5rdZXw,0.159,0.606,0.599,0.0,0.0664,-6.501,0.034,76.97,0.178,The Longest Playlist on Spotify® (Official)
Speakers,Sam Hunt,spotify:track:4DXfOXYv0ki7IR3P0XRcMY,0.712,0.594,0.459,0.0,0.169,-7.507,0.0419,75.082,0.316,The Longest Playlist on Spotify® (Official)
Cotton Eye Joe,Rednex,spotify:track:4YVYP7FcWBpSgxKBCOt1vi,0.021,0.722,0.977,0.000516,0.0625,-5.182,0.061,132.007,0.695,The Longest Playlist on Spotify® (Official)
If You're Gonna Play in Texas (You Gotta Have a Fiddle in the Band),Alabama,spotify:track:4lDHpM8kYUjVScfD8nfQ7A,0.263,0.449,0.645,2.9e-06,0.901,-15.2,0.0385,109.581,0.777,The Longest Playlist on Spotify® (Official)
I'm in a Hurry (And Don't Know Why),Alabama,spotify:track:29nNU80zu0vscbrvTi55mG,0.237,0.748,0.72,0.0,0.069,-7.774,0.0286,128.69,0.86,The Longest Playlist on Spotify® (Official)
Dirt Road Anthem,Jason Aldean,spotify:track:2qYsSHsYkihWx043HVJQRV,0.347,0.68,0.741,1.87e-06,0.117,-5.055,0.0357,127.024,0.635,The Longest Playlist on Spotify® (Official)
Sweet Caroline,Neil Diamond,spotify:track:3298yRJKPcCndQdNiTZKIo,0.589,0.538,0.127,0.00017,0.238,-16.057,0.0284,62.829,0.527,The Longest Playlist on Spotify® (Official)
Homegrown,Zac Brown Band,spotify:track:1qwnPVOIJjAFfCc40Etb1D,0.0244,0.711,0.801,0.000113,0.135,-3.742,0.029,105.006,0.956,The Longest Playlist on Spotify® (Official)
My Old Man,Zac Brown Band,spotify:track:6OzujJBXwYPxJ7KeqflLtr,0.819,0.64,0.196,3.63e-05,0.0978,-11.478,0.0267,143.919,0.301,The Longest Playlist on Spotify® (Official)
Ex To See,Sam Hunt,spotify:track:0YQcktqICwSWzlS4P4jzOz,0.021,0.615,0.824,0.0,0.342,-4.903,0.107,149.986,0.637,The Longest Playlist on Spotify® (Official)
All Summer Long,Kid Rock,spotify:track:5rX6C5QVvvZB7XckETNych,0.0212,0.7,0.864,0.0,0.0956,-3.629,0.0283,102.997,0.887,The Longest Playlist on Spotify® (Official)
Friends in Low Places,Kings of the River,spotify:track:3YfgxICmLEzoM87JX9MR5a,0.246,0.783,0.621,9.19e-06,0.0753,-7.816,0.0283,106.998,0.678,The Longest Playlist on Spotify® (Official)
Farmer's Daughter,Rodney Atkins,spotify:track:3dE7oRcadRfOflYkx4t2dW,0.259,0.62,0.794,0.0,0.113,-3.501,0.029,133.983,0.784,The Longest Playlist on Spotify® (Official)
Alright,Darius Rucker,spotify:track:5JlH51YDYsGj2dyEJKKjcN,0.0527,0.601,0.806,0.0,0.185,-4.579,0.0345,89.87,0.711,The Longest Playlist on Spotify® (Official)
Chattahoochee,Alan Jackson,spotify:track:59kHPbwyyCApYA8RQQEuXm,0.362,0.606,0.706,0.0,0.16,-9.665,0.0379,174.533,0.819,The Longest Playlist on Spotify® (Official)
Watching Airplanes,Gary Allan,spotify:track:63u5QGp9dKXAoYTVKUKBYn,0.547,0.374,0.711,4.12e-05,0.147,-3.587,0.0354,160.001,0.468,The Longest Playlist on Spotify® (Official)
That's What I Love About Sunday,Craig Morgan,spotify:track:7szPhYUwUHa4xvUcAPyXrR,0.449,0.594,0.575,0.0,0.111,-6.439,0.0333,139.461,0.4,The Longest Playlist on Spotify® (Official)
Redneck Yacht Club,Craig Morgan,spotify:track:0jOyxfEvvhGQPcPt5KXmiK,0.525,0.485,0.806,0.0,0.0925,-5.476,0.0364,168.077,0.807,The Longest Playlist on Spotify® (Official)
Tattoos on This Town,Jason Aldean,spotify:track:6tYDCQHRZUMH6kqlxrYeGn,0.018,0.511,0.776,3.75e-05,0.0986,-4.371,0.0369,81.101,0.447,The Longest Playlist on Spotify® (Official)
Big Green Tractor,Jason Aldean,spotify:track:1YWM2rkA6Aqto0v08edz44,0.654,0.616,0.596,0.0,0.218,-5.035,0.0289,137.077,0.58,The Longest Playlist on Spotify® (Official)
A Country Boy Can Survive,"Hank Williams, Jr.",spotify:track:54TuQJkgS1688IgI1lWLJv,0.17,0.686,0.276,0.0,0.082,-17.517,0.0442,75.318,0.518,The Longest Playlist on Spotify® (Official)
The Devil Went Down To Georgia,The Charlie Daniels Band,spotify:track:6KjJGpDZ4wdshirWmqBcT3,0.205,0.55,0.563,2.81e-05,0.0638,-9.659,0.0603,134.559,0.948,The Longest Playlist on Spotify® (Official)
5-1-5-0,Dierks Bentley,spotify:track:2WKCH4ISejDV9ad7iPp5XU,0.0246,0.554,0.849,0.000233,0.31,-5.181,0.0357,116.992,0.683,The Longest Playlist on Spotify® (Official)
Beer For My Horses,Toby Keith,spotify:track:7pWSdjUXBKksqggB49v0RE,0.302,0.721,0.843,0.0,0.0519,-5.106,0.0486,119.018,0.819,The Longest Playlist on Spotify® (Official)
Ladies Love Country Boys,Trace Adkins,spotify:track:13Oda4GsHXzRAfquxWkrzA,0.0539,0.661,0.959,1.74e-05,0.381,-4.439,0.0408,116.284,0.96,The Longest Playlist on Spotify® (Official)
